date,theme,book,time
2025-07-08,behind_scenes,Large_Print_Crossword_Puzzles_For_Seniors,19:00
2025-07-09,puzzle_demo,Large_Print_Crossword_Puzzles_For_Seniors,19:00
2025-07-10,brain_health,Large_Print_Crossword_Puzzles_For_Seniors,19:00
2025-07-11,behind_scenes,Large_Print_Crossword_Puzzles_For_Seniors,19:00
2025-07-12,puzzle_demo,Large_Print_Crossword_Puzzles_For_Seniors,19:00
2025-07-13,brain_health,Large_Print_Crossword_Puzzles_For_Seniors,19:00
2025-07-14,behind_scenes,Large_Print_Crossword_Puzzles_For_Seniors,19:00
