date,day_of_week,theme,book_title,posting_time,hashtags
2025-07-07,Monday,behind_scenes,Daily Sudoku Brain Training Book,14:00,#BookTok #PuzzleBooks #BrainHealth
2025-07-08,Tuesday,puzzle_demo,Daily Sudoku Brain Training Book,19:00,#BookTok #PuzzleBooks #BrainHealth
2025-07-09,Wednesday,brain_health,Daily Sudoku Brain Training Book,19:00,#BookTok #PuzzleBooks #BrainHealth
2025-07-10,Thursday,puzzle_demo,Daily Sudoku Brain Training Book,19:00,#BookTok #PuzzleBooks #BrainHealth
2025-07-11,Friday,behind_scenes,Daily Sudoku Brain Training Book,14:00,#BookTok #PuzzleBooks #BrainHealth
2025-07-12,Saturday,senior_friendly,Daily Sudoku Brain Training Book,19:00,#BookTok #PuzzleBooks #BrainHealth
2025-07-13,Sunday,brain_health,Daily Sudoku Brain Training Book,19:00,#BookTok #PuzzleBooks #BrainHealth
